OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
Concepsis clorhexidina GRANDE 30ML,,,,0,0,Pluss Dent GAB VEL,1,1,,$171.200,$220.000,exc,,"0,29",$0
Conformador de rodete en aluminio,compre $7.500,,,0,0,AQUILES / monica  - Sneider,,0,,$10.710,$15.000,,,"0,40",$0
Conos de gutapercha  de 1ra serie mailefer,,,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,EXC,,"0,36",$0
Conos de gutapercha  de 2da serie mailefer ,,,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,,,"0,36",$0
Conos de gutapercha  de No 15  Mailefer,,AGOTADO,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,EXC,,"0,36",$0
Conos de gutapercha  de No 20  Mailefer,,AGOTADO,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,EXC,,"0,36",$0
Conos de gutapercha  de No 25  Mailefer,,,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,EXC,,"0,36",$0
Conos de gutapercha  de No 30  Mailefer,,,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,EXC,,"0,36",$0
Conos de gutapercha  de No 35  Mailefer,,,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,,,"0,36",$0
Conos de gutapercha  de No 40  Mailefer,,,,0,,Dentsplay Ramon ,,,,$33.000,$45.000,EXC,,"0,36",$0
Conos de Gutapercha  No 15 caja x 6,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,,0,0,ABRAHAM DAZA SOCCIDENTALES,,9,,$15.500,$27.000,EXC,,"0,74",$0
Conos de Gutapercha  No 20 caja x 6,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,No llego 14 AB,20,0,ABRAHAM DAZA SOCCIDENTALES,,9,,$15.500,$27.000,EXC,,"0,74",$0
Conos de Gutapercha  No 25 caja x 6,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,,0,0,ABRAHAM DAZA SOCCIDENTALES,,0,,$15.500,$27.000,EXC,,"0,74",$0
Conos de Gutapercha  No 30 caja x 6,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,,0,0,ABRAHAM DAZA SOCCIDENTALES,,0,,$15.500,$27.000,EXC,,"0,74",$0
Conos de Gutapercha  No 35 caja x 6,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,,0,0,ABRAHAM DAZA SOCCIDENTALES,,0,,$15.500,$27.000,EXC,,"0,74",$0
Conos de Gutapercha  No 40 caja x 6,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,,0,0,ABRAHAM DAZA SOCCIDENTALES,,0,,$15.500,$27.000,EXC,,"0,74",$0
Conos de Gutapercha 15-40  1ra serie,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,,0,0,ABRAHAM DAZA SOCCIDENTALES,,21,,$15.500,$27.000,exc,,"0,74",$0
Conos de Gutapercha 45-80 2da serie ,"ABRA $ //15,500 // DAZA $ 16,700 //SOCCID $14500",,No llego 14 AB,20,0,ABRAHAM DAZA SOCCIDENTALES,,10,,$15.500,$27.000,exc,,"0,74",$0
CONTRA ANGULO ,,,,0,0,LARRY,,0,,$190.000,$220.000,,,"0,16",$0
CONTRA ANGULO CON SEGUETA,,,,0,0,IMPORTADA,,0,,$289.000,$550.000,,,"0,90",$0
CONTRASTADORES PARA FOTO NEGROS INDIVIDUAL C4-B / C4-A,,,,0,10,IMPORTADA,,0,, $10.277,$50.000,,$40.000,"3,87",$102.770
Convertidor de HP a FG,241099,,pedir ,0,10,Masterdent,,9,,$16.846,$28.000,,,"0,66",$168.456
COPA AGUARDIENTE GRANDE 2805,,,,0,,CENTRO CRISTALERIA DISCORDOBA,,,,$1.416,$5.000,,,"2,53",$0
COPA AGUARDIENTE PEQUEÑA 2852AL, ,,,0,,CENTRO CRISTALERIA DISCORDOBA,,,,$1.443,$4.000,,,"1,77",$0
copa de caucho de profilaxis CAJA,,,,0,,RAMON,,,12-2026,$48.000,$68.000,,,"0,42",$0
copa de caucho X 3 unid,,,,0,,RAMON,,,,$975,$2.000,,,"1,05",$0
CORONA DE ACERO,,,,0,0,IMPORTADO,,0,, $4.904,$22.000,,,"3,49",$0
CORONA POLICARBOXILATO - POLICARBONATO,,,,0,0,IMPORTADA,,0,,$1.500,$4.000,,,"1,67",$0
CORTADOR DE GUTAPERCHA,,,,0,0,IMPORTADO,,,,$75.000,$170.000,,,,
CORTAFRIO GDE COD 6753 ,,,,0,,CENTRO HOYOSTOOL,,,,$5.420,$10.000,,,"0,85",$0
CORTAFRIO PÑO COD 3491 ,,,,0,,CENTRO HOYOSTOOL,,,,$5.500,$9.000,,,"0,64",$0
Crema adhesiva para protesis sin  sabor PROQUIDENT,,,,,,PROQUIDENT,,7,06-2026,$26.616,$32.000,,,"0,20",$0
CREMA DENTAL PEQUEÑA,colgate 2050 proquident 1359,,,,,CENTRO 40mil proquident,,19,proqui 06-2026 8-2027 colgate 01-24 03/2025,$2.050,$3.000,,,"0,46",$0
crisoles ECONOMICO ,,,,0,0,AQUILES / monica  - jorge,,5,,$3.500,$7.000,,,"1,00",$0
Cristaflex X100mts,,,,0,0,QUIMIPACK ,,150,,$4.850,$8.000,EXC,,"0,65",$0
Cubeta Maquira No. 8 Blanca,,BORRAR,,0,0,CLAUDIA,,0,,,$15.000,,,#DIV/0!,$0
CUBETA METALICA INDIVIDUAL TALLA L ,,,,0,0,,,21,,,$35.000,,,,
Cubeta plastica color roja xs niño,,BORRAR,,0,0,AQUILES / monica  - jorge,,0,,$5.000,$5.000,,,"0,00",$0
CUBETA PLASTICA IMPRESION PARA ADULTO Y NIÑO JUEGO X12 AZDENT,,,,0,0,IMPORTADA,,,,$13.119,$45.000,,,"2,43",$0
CUBETA PLASTICA IMPRESION PARA NIÑO JUEGO X6,,,,0,0,biodentales-NATURAL SISTEM,,,,$13.852,$20.000,,,"0,44",$0
Cubeta Transparente de silicona,,,,0,0,importado,,1,,,,,,,
Cubetas Juego autoclavable color angelus,,,,0,0,CLAUDIA,,0,,$30.000,$50.000,,,"0,67",$0
Cubetas No. 6 Morelli, ,,,0,0,DAZA CLAUDIA,,7,03-2028,$16.184,$22.000,,,"0,36",$0
Cubetas No. 7 Morelli, ,,,0,0,DAZA CLAUDIA,,15,,$16.184,$22.000,,,"0,36",$0
Cubetas No. 8 Morelli,DAZA $19992,,,0,10,DAZA CLAUDIA,,21,,$16.184,$22.000,,,"0,36",$161.840
CUBETAS PARA FLUOR L,,,,0,,ramon quirudent ,,,,$1.109,$3.000,,,"1,70",$0
CUBETAS PARA FLUOR M ,,,,0,,ramon quirudent ,,,,$1.109,$3.000,,,"1,70",$0
CUBETAS PARA FLUOR PAQUETE ,,,,0,,ramon quirudent ,,,,$28.001,$35.000,,,"0,25",$0
Cubetas Plasticas de Color Beige y fucsia paquete x3P,aquiles $8211,,,0,0,aquiles,,6,,$9.044,$18.000,,,"0,99",$0
Cubetas Plasticas de Colores L paquete x 3 pares,OXXI $8800 NISSI $7128,,,0,0,OXXI NISSI,,48,,$8.800,$18.000,,,"1,05",$0
Cubetas Plasticas de Colores M paquete x 3 pares,OXXI $8800 NISSI $7128,,,0,0,OXXI NISSI,,52,,$8.800,$18.000,,,"1,05",$0
Cubetas Plasticas de Colores S paquete x 3 pares,OXXI $8800 NISSI $7128,,,0,0,OXXI NISSI,,56,,$8.800,$18.000,,,"1,05",$0
Cubetas Plasticas de Colores surtidas paquete x 3 p,DYMA $6092,,,0,0,OXXI DYMA,,76,,$8.000,$18.000,,$11.000,"1,25",$0
Cucharilla endodontica Delta EXC33L,EXC33L,,,0,,DELTA ,11,,,$69.448,$105.000,,,"0,51",$0
Cucharilla instrumental basico Delta EXC5 excabador,EXC5,BASICO,,0,,DELTA ,0,,,$58.120,$95.000,,,"0,63",$0
Cuñas anatomicas de madera X 10 unid,abraham x100 $26390,,,0,,ABRAHAM AQUILES RAMON,,,,$2.143,$7.000,,,"2,27",$0
Cuñas anatomicas de madera X 100 AZDENT,,,,0,0,IMPORTADO,,0,, $10.714, $70.000,,,"5,53",$0
Cuñas anatomicas de madera X 50 unid surtidas,ramon $17310 Aquiles $16898,,,0,,ABRAHAM AQUILES RAMON,,,,$16.898,$32.000,,,"0,89",$0
cuñas de rotacion ,,,,0,0,ABRAHAM DAZA,,0,,$6.800,$10.000,,,"0,47",$0
Cureta 1/2 gracey minifive hu friedy ,,,,0,0,daza,,0,,$123.760,$155.000,,,"0,25",
CURETAS American Eagle MONTANA,CURETA,,,0,0,ABRAHAM,,0,,$87.160,$109.000,,,"0,25",$0
Curetas Instrumental Delta 1-2 Gracey,SG1/2,KIT USC,,0,,DELTA ,1,,,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 11-12 Gracey,SG11/12,kit de curetas KIT USC,,0,,DELTA ,0,,,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 11-12 MC CALL ,SM11/12S,,,0,,DELTA ,0,,,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 13-14 Gracey,SG13/14,kit de curetas KIT USC,,0,,DELTA ,2,,*,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 13-14 MC CALL ,SM13/14S,kit de curetas KIT USC,,0,,DELTA ,0,,*,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 17-18 MC CALL ,SM17/18S,kit de curetas KIT USC,,0,,DELTA ,1,,*,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 3-4 Gracey,SG3/4,kit de curetas USC,,0,,DELTA ,1,,,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 5-6 Gracey,SG5/6,,,0,,DELTA ,1,,,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 7-8 Gracey,SG7/8,kit de curetas,,0,,DELTA ,3,,,$77.469,$105.000,,$88.000,"0,36",$0
Curetas Instrumental Delta 9-10 Gracey,SG9/10,KIT USC,,0,,DELTA ,1,,,$77.469,$105.000,,$88.000,"0,36",$0
Debublizer economico ,,,,0,0,Monica jorge aquiles,,0,,$2.950,$6.000,,,"1,03",$0
Dentimetro Flexible ,,,,,,NEW STETIC,0,,,$100,$1.000,"1,19",,"9,00",$0
Dentimetro metalico,,,,0,,RAMON JORGE AQUILES,,,,$2.400,$3.500,,,"0,46",$0
DENTOFAR 5 ML,aquiles $22325 EUFAR 21385,,,0,0,EUFAR proquident AQUILES,,0,,$21.385,$28.000,,,"0,31",$0
DESENSIBILIZANTE KF 2% JGA X 2.5 ML FGM,antioq $27608 soccid $19300 promo 23205,,,0,0,FGM soccident,,,,$27.608,$36.000,,,"0,30",$0
Desensibilizante Ultra EZ Ultradent,,,,0,0,Gabriel Vel pluss ,2,5,,$11.455,$28.000,exc,,"1,44",$0
Desinfectante dispositivos medicos Proquizyme 240ml,,,,,,PROQUIDENT,,0,,$9.063,$14.000,,,"0,54",$0
Desinfectante dispositivos medicos Proquizyme 500 ml superficie,,,,,,PROQUIDENT,,19,,$19.585,$28.000,,,"0,43",$0
desinfectantes ALCOHOL 80% x 240 ml eucida clasicc,,,,0,0,eufar,,15,,$12.285,$17.000,,,"0,38",$0
desinfectantes superficies ORGANICA x 500 ml,,,,0,0,nuria,,7,,$16.000,$28.000,,,"0,75",$0
desinfectantes superficies x 100 ml,,,,0,10,nuria,,40,07-2027,$6.000,$10.000,,,"0,67",$60.000
DESMANCHADOR POLVO PROQUIDENT 175 gr,,,,,,PROQUIDENT,,3,1/7/2027 6-2027,$21.165,$34.000,,,"0,61",$0
destornillador para modelo ivorina ,,,,0,,CENTRO HOYOSTOOL,,,,$4.000,$7.000,,,"0,75",$0
detartrol 60ml,aquiles $29.000 ramon 26000,PRECIO 20 MAYO (acomodar descuento),27550,2,,RAMON AQUILES,,,05-2027,$29.000,$38.000,exc,,"0,31",$0
"Detector Revelador De Caries Sable Seek- Ultradent jeringa 1,2 ",gabriel velasque 21465,,,5,0,Gabriel Vel pluss ,0,5,,$21.488,$34.000,,$28.000,"0,58",$0
DIENTES BIODENT,,,,,,NEW STETIC,0,,,$6.700,$9.000,exc,$8.000,"0,34",$0
Dientes de Endodoncia D ENDO 11 23 25 36,dyma $14280,,,0,0,DYMA,,,,$14.280,$18.000,,,"0,26",
dientes de ivorina ,,,,0,0,JORGE DYMA,,,,$1.200,$2.500,,,"1,08",$0
dientes de NISSI ,,,,0,0,JORGE DYMA,,,,$1.200,$3.000,,,"1,50",$0
DISCO CARBURO CAJA X 100 DISCO PARA  SEPARAR,242014,,,0,0,masterdent,,200,,$600,$2.500,,,"3,17",$0
DISCO DE PULIDO DE RESINA 2 MANDRILES 40 UNIDADES,,,,0,0,importado,,,,$21.850,$70.000,,,,
DISCO DIAMANTADO DENTADO PARA CORTE Y ELIMINACION DE EXCESOS.,241052,,,0,0,Masterdent,,,,$9.997,$14.000,,,"0,40",$0
DISCO DIAMANTADO ECONOMICO CARTON AZUL ,,,,0,0,UPEGUI IMPORTADA,,172,,$3.000,$8.000,,$6.000,"1,67",$0
DISCO DIAMANTADO LISO DENTADO IDEAL PARA SEPARAR,241051,,,0,0,Masterdent,,,,$9.997,$14.000,,,"0,40",$0
DISCO DIAMANTADO LISO PARA SEPARACION INICIAL Y RECORTE,241050,,,0,0,Masterdent,,,,$9.997,$14.000,,,"0,40",$0
DISCO DIAMANTADO METALICO TOTAL,241053,,,0,0,Masterdent,,,,$9.997,$14.000,,,"0,40",$0
Disco diamond flex fieltro x 24 undidades,promo $46410,,,0,0,fgm,,1,,$61.880,$88.000,,,"0,42",
DISCO PARA CORTE DE METAL DE BAJO OLOR 210,242012,,,0,0,Masterdent,,,,$900,$1.500,,,"0,67",$0
DISCO PARA DESBASTAR 212,242013,,,0,0,Masterdent,,,,$1.805,$3.500,,,"0,94",$0
DISCO PARA SEPARACION Y CONTORNEAR RUGOSIDADES,241054,,,0,0,Masterdent,,,,$8.899,$13.348,,,"0,50",$0
DISCO PARA SEPARAR METAL 221,242014,REPETIDO,,0,0,Masterdent,,,,$500,$1.000,,,"1,00",$0
DISCO UNA SOLA CARA PARA SEPARACION INICIAL Y CONTORNEADO,241055,,,0,0,Masterdent,,,,$4.000,$7.000,,,"0,75",$0
discos de pulido azul max flex ,,,,0,0,la muela ,,5,,$650,$2.000,,,"2,08",$0
Discos pulidores JIFFY ultradent Amarillo Conico ,,PRECIO 20 MAYO,11750,3,0,Gabriel Vel pluss ,3,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent Amarillo Copa ,,PRECIO 20 MAYO,11750,1,0,Gabriel Vel pluss ,5,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent Amarillo Lenteja ,,PRECIO 20 MAYO,11750,2,0,Gabriel Vel pluss ,4,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent blanco Conico,,,,0,0,Gabriel Vel pluss ,7,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent blanco Copa,,PRECIO 20 MAYO,11750,3,0,Gabriel Vel pluss ,3,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent blanco Lenteja ,,,,1,0,Gabriel Vel pluss ,5,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent Verde Conico,,PRECIO 20 MAYO,11750,2,0,Gabriel Vel pluss ,4,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent Verde Copa ,,PRECIO 20 MAYO,11750,2,0,Gabriel Vel pluss ,4,0,,$12.175,$16.000,,,"0,31",$0
Discos pulidores JIFFY ultradent Verde Lenteja ,,,,0,0,Gabriel Vel pluss ,7,0,,$12.175,$16.000,,,"0,31",$0
Discos soflex 3M,,,pedir ,0,,RAMON GABRIEL VELASQUEZ,,,,$841,$30.000,,,"34,67",$0
Discos soflex 3M PAQUETE X30,,,,0,,RAMON GABRIEL VELASQUEZ,,,,$71.400,$95.000,,,"0,33",$0
Discos soflex praxis TDV x30,,,,0,0,ABRAHAM,,,,$39.730,$49.600,exc,,"0,25",$0
Discos soflex super snap ,SSW $11800 // NEW $13566 // MIGUEL $11042,kit zafira,,,,jorge new stetic,0,,,$12.614,$18.000,,$15.000,"0,43",$0
Discos soflex super snap SHOFU NEGROS X CAJA ,,miguel $65 /New $74,,,,New Stetic MIGUEL,0,,,$74.732,$110.000,85,$85.000,"0,47",$0
Discos soflex super snap X CAJA 48 UNIDADES,SSW $11800 // NEW $13566 // MIGUEL $11043,kit zafira,,,,jorge new stetic,0,,,$605.472,$720.000,,$14.375,"0,19",$0
DISCOS ULTRA THIN VERDE PARA PORCELANA  ULTRATRIM,242010,,,0,0,Masterdent AQUILES,,30,,$1.000,$3.000,,,"2,00",$0
Dispensador microaplicadores SDI,,,,0,0,CLAUDIA,,0,,$18.000,$40.000,,,"1,22",$0
DUO LINK Bisco ,,promo $160,,,,JULVIDENT bisco,,20,26-2027,$267.000,$325.000,exc,$270.000,"0,22",$0
Duplicadora en hierro para laboratorio,,,,0,0,Monica sneider,,0,,$13.000,$24.000,,$18.000,"0,85",$0
DURALAY DURACRYL FLOW 60 gr,,,,,,New Stetic ,0,3,,$141.253,$170.000,"1,19",$155.000,"0,20",$0
DURALAY DURACRYL FLOW porcion 10gr,,,,0,0,unidental ,,,,$21.250,$30.000,,,"0,41",$0
DURALAY Inlay Pattern Resin 20 grs,aquiles $33800 / ,,,0,0,JORGE,,4,,$30.000,$40.000,,$38.000,"0,33",$0
Dycal Ivory Shade  Dentsply,,AGOTADO,descontinuado,0,,Dentsplay Ramon ,,,,$46.500,$62.000,,,"0,33",$0
ECO WIPES TOALLA CUADRA X50 HOJAS  WY PALL WYPALL ,,,,0,,CENTRO 40mil,,,,$25.000,$32.000,,,"0,28",$0
EDTA  120 ml eufar,aquiles $40000 eufar $36985,,,0,0,Gabriel Velasquez - aquiles Eufar ,,1,,$36.985,$58.000,EXC,,"0,57",$0
ELASTICOS INTERMAXILARES,DAZA $3226 abrahan 1180 padilla $900 ORHTO PROF $1159,,,0,0,ABRAHAM DAZA PADILLA ,,3/8 M 22 3/8 H 13 1/8 10 1/8M 3 1/8 H 5 1/4 M 20 1/4 H15 5/16 M 19 5/16 H 14 3/16 M 26 3/16H 17 ,,$1.200,$5.000,EXC,,"3,17",$0
elasticos separadores X 60 RUEDAS,abraham 11080,,,0,139,ABRAHAM PADILLA ,,revisar,,$227,$500,,,"1,21",$31.381
elevador Apical derecho instrumental Delta,,,,0,,DELTA ,0,,,$60.000,$95.000,,,"0,58",$0
Embudo ,,,,0,,CENTRO CRISTALERIA,,,,$750,$1.500,,,"1,00",$0
EMPRESS DIRECT BLXL IVOCLAR DENTINA ,Dora $228// Gabriel Velas $235//EMMA $215 // CESAR $278 //casa odontologica $232 eurodent $199,ALTA ESTETICA,,,,EMMA MASDENTAL  ramon EURODENT,,,,$199.000,$280.000,exc,,"0,41",$0
EMPRESS DIRECT BLXL IVOCLAR ESMALTE,Dora $228// Gabriel Velas $235//EMMA $215 // CESAR $278 //casa odontologica $232 eurodent $199,ALTA ESTETICA,,,,EMMA MASDENTAL  ramon EURODENT,,,,$199.000,$280.000,,,"0,41",$0
EMPRESS OPAQUE,,,,0,0,EMMA MASDENTAL ,,0,,$225.000,$280.000,,,"0,24",$0
EMULSION DE ALTO BRILLO EMPACADO JOTA (4 x tarro),,,,0,0,unidental,,4,,$20.500,$25.000,,,"0,22",$0
EMULSION DE ALTO BRILLO JOTA 50 ML,,,,,,NEW STETIC,0,0,,$66.045,$82.000,"1,19",$74.000,"0,24",$0
Encerador electrico,,,,0,0,importado,,3,,$138.000,$370.000,,,,
ENCUBADORA ,,,,0,,RAMON ,,,,$298.000,$380.000,,,"0,28",$0
Endo explorador conducto Delta instrumental,EXDG16,,,0,,DELTA ,14,,,$65.559,$105.000,,,"0,60",$0
Endo frost spray 200ML ,47205 x 6,,pedi nov 6,0,5,ultradental ,,0,,$56.645,$75.000,,$62.000,"0,32",$283.226
Endo ice  spray 200ML ,,,,0,0,RAMON SOCCIDENTALES ultradental,,,,$53.407,$75.000,,$62.000,"0,40",$0
ENDO RAY  - posicionador DE COLORES,,,,0,0,IMPORTADA,,,, $74.341,$160.000,,$145.000,"1,15",$0
ENDO RAY  - posicionador mailefer,,AGOTADO,descontinuado,0,,Dentsplay Ramon ,,,,$105.000,$120.000,,,"0,14",$0
ENDOCONTAINER ALUMINIO REDONDO,,,,0,0,AQUILES    ,,0,,$10.000,$18.000,,,"0,80",$0
ENDOCONTAINER COLOR PEQUEÑO,,,,0,0,IMPORTADA,,MORADO 1 ROJO 2 AZUL 1,,$15.449,$60.000,,,"2,88",$0
ENDOCONTAINER LIMA Y CONOS COLOR GRANDE,,,,0,0,IMPORTADA,,,, $73.566,$145.000,,,"0,97",$0
ENDOCONTAINER METALICO ,,,,0,,RAMON aquiles allexiño,,,,$20.200,$32.000,,,"0,58",$0
Enhance  CONICAS,,,,0,,Dentsplay IMPORTADA RAMON,,,,$4.499,$12.000,,,"1,67",$0
Enhance  COPAS,,,,0,,Dentsplay IMPORTADA RAMON,,,,$4.499,$12.000,,,"1,67",$0
Enhance  Lenteja,,,,0,,RAMON IMPORTADA,,,,$4.499,$12.000,,,"1,67",$0
Enhebradores plasticos X PAQUETE,,,,0,0,ZENDENT DENTOLINE,,80,,$3.050,$5.000,,,"0,64",$0
Enna Fluida ,,,,0,0,ABRAHAM,,0,,$11.400,$17.000,,,"0,49",$0
Enna resina compuesta,,,,0,0,ABRAHAM,,0,,$50.300,$65.000,EXC,,"0,29",$0
ESPACIADOR DIGITAL caja x4 Mailefer No 25 B rojo,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$15.000,$22.000,,,"0,47",$0
ESPACIADOR DIGITAL CajaX4 Mailefer No 20 Amari,,Endo kit 23,,0,,Dentsplay Ramon ,,,,$15.000,$22.000,,,"0,47",$0
ESPACIADOR DIGITAL Mailefer No 30 azul,,,,0,,Dentsplay Ramon ,,,,$15.000,$22.000,,,"0,47",$0
Espaciador manual (endodoncia),,,,0,,RAMON,,,,$2.600,$4.000,,,"0,54",$0
Espatula de cemento plastica instrumental,,,,0,0,UPEGUI,,100,,$1.900,$4.000,,,"1,11",$0
ESPATULA EN ZIRCONIO PARA MEZCLA DE PORCELANA BK,,,,0,0,Masterdent,,0,,$250.000,$375.000,,,"0,50",$0
ESPATULA PARA PREPARACION DE OPACOS BK,,,,0,0,Masterdent,,0,,$41.000,$61.500,,,"0,50",$0
ESPATULA PARA TALLAR PORCELANABK,,,,0,0,Masterdent,,0,,$62.000,$93.000,,,"0,50",$0
espatula pared GRANDE  3  pulgadas  COD 6398,,,,0,,CENTRO HOYOSTOOL,,,,$2.300,$6.000,,,"1,61",$0
espatula pared PEQUEÑA 2.5 COD 6399 ò 6397,,,,0,,CENTRO HOYOSTOOL,,,,$1.986,$5.500,,,"1,77",$0
Espatula Plastica de Alginato Zendent,,,,0,0,ZENDENT DYMA,,134,,$1.200,$2.000,,,"0,67",$0
Espatula plastica para alginato (NO NARANJA NI VERDE),650-20x13,,,,0,UPEGUI /AQUILES jorge DYMA ,0,,,$1.131,$2.000,,,"0,77",$0
espatula titaniun Delta instrumental ANTER - POSTER  ref# 1,TNCIGFT2,,,1,,DELTA ,2,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental ANTER - POSTER ref# 2,TNCIPCM,,,1,,DELTA ,2,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental ANTERIOR  ref# 3,TNCCI1,walbin E,,1,,DELTA ,2,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental ANTERIOR  ref# 4,TNCCI1S,walbin 24,,3,,DELTA ,0,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental ANTERIOR  ref# 5,TNCCI2,AGOTADO,,3,,DELTA ,0,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental INTERPROXIMAL ref# 6,TNCPFI5,,,0,,DELTA,3,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental INTERPROXIMAL ref# 7,TNCIGFTMI1,AGOTADO,,3,,DELTA ,0,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental INTERPROXIMAL ref# 8,TNCIGFTMI3,walbin E,,3,,DELTA ,0,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental INTERPROXIMAL ref# 9,TNCVIPC,walbin 24,,2,,DELTA ,1,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental POSTERIOR ref# 10,TNBBDH,,,2,,DELTA ,0,,,$89.131,$115.000,,$99.000,"0,29",$0
espatula titaniun Delta instrumental POSTERIOR ref# 11,TNPFIG4/5,AGOTADO,,1,,DELTA ,2,,,$89.131,$115.000,,$99.000,"0,29",$0
ESPEJO CURVO,,,,0,0,IMPORTADA,,10,,$25.830,$90.000,,,,
Espejo DOBLE Luna instrumental basico Delta,MIRCSD16,AGOTADO,,0,,DELTA ,0,,,$44.253,$95.000,,,"1,15",$0
Espejo facial  cuadrado colores ,,BORRAR,,0,,CENTRO 40mil,,,,$6.000,$6.000,,,"0,00",$0
"Espejo facial  redondo colores rosa,morado,azul ",,,,0,,CENTRO 40mil,,,,$4.000,$8.000,,,"1,00",$0
Espejo facial Gris  Trans,,,,0,,CENTRO,,,,$2.000,$10.000,,,"4,00",$0
Espejo facial Muelita,,,,20,0,Aquiles,,10,,$11.900,$15.000,,,"0,26",$0
Espejo juego para foto KIT X4,,,,0,0,IMPORTADA,,2,,$51.618,$100.000,,$70.000,"0,94",$0
Espejo juego para foto KIT X5,,,,0,0,IMPORTADA,,9,,$42.210,$120.000,,,"1,84",$0
Espejo para foto muela Grande,,,pedir ,0,100,Bertulio,,30,,$2.200,$6.000,,$4.000,"1,73",$220.000
Espejo para foto muela pequeño,,,,0,0,Bertulio,,140,,$2.200,$6.000,,$4.000,"1,73",$0
Espejo para foto zapato Grande ,,,pedir ,0,50,Bertulio,,60,,$2.200,$6.000,,$4.000,"1,73",$110.000
Espejo para foto zapato pequeño,,,,0,0,Bertulio,,100,,$2.200,$6.000,,$4.000,"1,73",$0
Espejo SOLO LUNA instrumental basico Delta,MIR5D16,BASICO,,0,,DELTA ,0,,,$22.551,$35.000,,,"0,55",$0
espuma x metro,,,,0,,CENTRO WASHINGTON,,,,$400,$1.500,,,"2,75",$0
ESTEMP NE spident tembond 2jeringas x 10gr,,,,0,0,SOCCIDENTALES,,0,,$56.320,$80.000,,,"0,42",$0
Estrella posicionadora para ortodoncia,,,,0,0,no,,0,,$2.000,$10.000,,,"4,00",$0
ESTUCHE DISECCION EN KIT ,,,,0,0,Aquiles ,,0,,$27.846,$40.000,,,"0,44",$0
Estuche Jeringa cocodrilo angelus,,,,0,0,ABRAHAM,,1,,$22.480,$28.000,,,"0,25",$0
estuche para radiografia caja CAJA,,,,0,,RAMON AQUILES,,,,$500,$1.000,,,"1,00",$0
Estuche PKT DELTA por 5 unidades color,,,,0,,DELTA ,3,,,$273.819,$320.000,,,"0,17",$0
Eucida Advanced  Solución desinfectante de dispositivos médicos superficie 240ML,,,,0,0,RAMON EUFAR,,,07-2027,$12.285,$18.000,,,"0,47",$0
EUGENOL EUFAR 15ml,,,,0,0,eufar,,,,$10.985,$16.000,,,"0,46",
