OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
acido fluorhidrico 5% 3 g BM4,,,,0,0,CLAUDIA,,0,,$10.320,$30.000,,,"1,91",$0
acido fluorhidrico 5% porcelana jeringa 2.5 ml FGM,SOCCID $24514 plus $25600,,,0,0,FGM soccident,,0,01-2026,$38.080,$56.000,,,"0,47",$0
ACIDO FLUORHIDRICO 7ML (GOTERO) prodont ,,,,0,10,PRODONT,,4,07-2027,$30.651,$45.000,,$38.000,"0,47",$306.508
acido fluorhidrico 9.6% Jeringa 2 g Eufar,Aquiles $32000 ramon $32000 EUFAR $29354,,,0,0,AQUILES RAMON GABRIEL VELASQUEZ Eufar ,,,,$29.354,$45.000,,$35.000,"0,53",$0
Acido fluorhidrico grabador para porcelana ultradent,pluss $24804,,,0,0,Gabriel Vel pluss ,3,6,,$30.257,$52.000,EXC,$38.000,"0,72",$0
"Acido Fluorhidrico porcelain etch 9,5% Bisco ",promo $106.250 mayo/25,,,,,JULVIDENT bisco,,3,,$118.000,$170.000,EXC,,"0,44",$0
aclaramiento casero Clariant 16% Angelus ,,,,0,0,ABRAHAM,,3,,$19.710,$24.630,,,"0,25",$0
Aclaramiento casero OPALECENSE  x 2 JERINGAS ,,Casero,,0,0,CLAUDIA pluss dent,3,4,revisar,$45.031,$58.000,iva,,"0,29",$0
Aclaramiento casero Opalecense Go caja x 10,pluss $211.000 promo 2x 159 gabriel velasq promo x 2 155,Casero ,,1,0,CLAUDIA pluss dent ,1,2,10-2025,$211.194,$248.000,,,"0,17",$0
Aclaramiento casero Opalecense Go x unidad,,Casero ,,0,0,CLAUDIA pluss dent,0,,,$25.000,$30.000,,,"0,20",$0
Aclaramiento casero Polanight ,,,,0,0,CLAUDIA abraham,,0,,$26.900,$33.600,,,"0,25",$0
Aclaramiento casero Potenza 16% ,,Casero ,,,,New Stetic,0,,04-2026,$13.953,$22.000,,,"0,58",$0
Aclaramiento casero Potenza 22%,,Casero ,,,,New Stetic,0,,,$15.153,$22.000,,,#REF!,#REF!
Aclaramiento casero Power bleaching  bM4 16 %,,,,0,0,SOCCIDENTALES,,0,,$9.603,$20.000,,,"1,08",$0
Aclaramiento casero Power bleaching  bM4 22 %,,,,0,0,SOCCIDENTALES,,0,,$9.603,$20.000,,,"1,08",$0
Aclaramiento casero Whiteness perfect FGM 16% ,antioq $16800 promo $15000 soccid $14500 plus $15232,Casero ,,0,0,FGM soccident,,0,1/11/2025 3-2025,$16.800,$25.000,,$22.000,"0,49",$0
Aclaramiento casero Whiteness perfect FGM 22% ,antioq $16800 promo $15000 soccid $14500 plus $15232,Casero ,,0,0,FGM soccident,,0,03-2025,$16.800,$25.000,,,"0,49",$0
Aclaramiento casero withegold ,,,,0,,DORA ramon,,,,$11.700,$18.000,,,"0,54",$0
Aclaramiento consultorio AZUL HP BLUE FGM 35% JERINGA ,SOCCID 38714 plus $37334,PRECIO MAYO 20,38715,0,0,FGM soccident,,0,01-2026,$38.873,$65.000,,$48.000,"0,67",$0
Aclaramiento consultorio AZUL HP BLUE FGM 35% MINI KIT ,antioq $76160 soccid $66800,aclaramiento FGM,,0,0,FGM soccident,,,,$76.160,$100.000,,,"0,31",$0
aclaramiento consultorio Clariant 35% Angelus,,PRECIO 20 MAYO,38000,0,0,ABRAHAM,,0,,$36.130,$49.000,,,"0,36",$0
Aclaramiento consultorio FGM 35% ROJO HP,antioq $200000 promo $196350 soccid $202.300 ,aclaramiento FGM,,0,0,FGM soccident,,,FGM 1/11/2025 brasil 04-2025,$200.000,$270.000,,,"0,35",$0
Aclaramiento consultorio FGM 35% ROJO HP Mini kit ,,aclaramiento FGM,,0,0,FGM soccident,,,,$89.000,$119.000,,,"0,34",$0
Aclaramiento consultorio FGM 35% VERDE HP AUTOMIX JERINGA CONSULTORIO,,aclaramiento FGM,,0,0,FGM soccident,,,,$190.000,$220.000,,,"0,16",$0
Aclaramiento consultorio FGM 35% VERDE HP MAXX ,antioq $233240 soccid $180000  plus $208012,aclaramiento FGM,,0,0,FGM soccident,,,,$200.000,$270.000,,,"0,35",$0
Aclaramiento consultorio FGM 35% VERDE MINI KIT HP MAXX ,antioq $117096 soccid $66800,aclaramiento FGM,FGM,0,0,FGM soccident,,,,$117.096,$165.000,,,"0,41",$0
Aclaramiento consultorio OPALECENSE BOOTS + barrera gingival OPALDAM,,,,0,0,CLAUDIA pluss dent,4,0,,$115.250,$148.000,iva,,"0,28",$0
Aclaramiento consultorio OPALECENSE BOOTS 40%,compre $90200,,,1,0,CLAUDIA pluss dent,1,2,09-2025,$97.429,$125.000,iva,,"0,28",$0
